,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-09-30 00:00:00-07:00,,19.9,3.7,,,,,,False
2021-09-30 00:01:00-07:00,,19.9,3.0,,,,,,False
2021-09-30 00:02:00-07:00,,20.0,2.7,,,,,,False
2021-09-30 00:03:00-07:00,,20.1,2.7,,,,,,False
2021-09-30 00:04:00-07:00,,20.2,1.7,,,,,,False
2021-09-30 00:05:00-07:00,,20.2,1.5,,,,,,False
2021-09-30 00:06:00-07:00,,20.2,1.2,,,,,,False
2021-09-30 00:07:00-07:00,,20.2,0.6,,,,,,False
2021-09-30 00:08:00-07:00,,20.2,1.3,,,,,,False
2021-09-30 00:09:00-07:00,,20.2,1.5,,,,,,False
2021-09-30 00:10:00-07:00,,20.2,0.9,,,,,,False
2021-09-30 00:11:00-07:00,,20.3,0.7,,,,,,False
2021-09-30 00:12:00-07:00,,20.3,0.5,,,,,,False
2021-09-30 00:13:00-07:00,,20.3,0.7,,,,,,False
2021-09-30 00:14:00-07:00,,20.3,1.0,,,,,,False
2021-09-30 00:15:00-07:00,,20.3,1.5,,,,,,False
2021-09-30 00:16:00-07:00,,20.2,1.4,,,,,,False
2021-09-30 00:17:00-07:00,,20.3,0.6,,,,,,False
2021-09-30 00:18:00-07:00,,20.3,1.3,,,,,,False
2021-09-30 00:19:00-07:00,,20.2,1.1,,,,,,False
2021-09-30 00:20:00-07:00,,20.1,0.8,,,,,,False
2021-09-30 00:21:00-07:00,,20.0,0.7,,,,,,False
2021-09-30 00:22:00-07:00,,20.0,1.0,,,,,,False
2021-09-30 00:23:00-07:00,,19.9,1.4,,,,,,False
2021-09-30 00:24:00-07:00,,20.0,1.5,,,,,,False
2021-09-30 00:25:00-07:00,,20.1,2.0,,,,,,False
2021-09-30 00:26:00-07:00,,20.1,1.4,,,,,,False
2021-09-30 00:27:00-07:00,,20.0,1.4,,,,,,False
2021-09-30 00:28:00-07:00,,20.0,2.8,,,,,,False
2021-09-30 00:29:00-07:00,,20.1,2.7,,,,,,False
2021-09-30 00:30:00-07:00,,20.3,1.8,,,,,,False
2021-09-30 00:31:00-07:00,,20.5,2.3,,,,,,False
2021-09-30 00:32:00-07:00,,20.5,2.7,,,,,,False
2021-09-30 00:33:00-07:00,,20.5,1.6,,,,,,False
2021-09-30 00:34:00-07:00,,20.5,1.2,,,,,,False
2021-09-30 00:35:00-07:00,,20.5,1.5,,,,,,False
2021-09-30 00:36:00-07:00,,20.3,1.3,,,,,,False
2021-09-30 00:37:00-07:00,,20.2,1.0,,,,,,False
2021-09-30 00:38:00-07:00,,20.1,0.9,,,,,,False
2021-09-30 00:39:00-07:00,,20.1,1.6,,,,,,False
2021-09-30 00:40:00-07:00,,20.0,2.1,,,,,,False
2021-09-30 00:41:00-07:00,,20.1,2.4,,,,,,False
2021-09-30 00:42:00-07:00,,20.3,3.7,,,,,,False
2021-09-30 00:43:00-07:00,,20.2,1.9,,,,,,False
2021-09-30 00:44:00-07:00,,20.2,2.4,,,,,,False
2021-09-30 00:45:00-07:00,,20.4,1.0,,,,,,False
2021-09-30 00:46:00-07:00,,20.5,1.1,,,,,,False
2021-09-30 00:47:00-07:00,,20.6,2.0,,,,,,False
2021-09-30 00:48:00-07:00,,20.6,0.7,,,,,,False
2021-09-30 00:49:00-07:00,,20.6,3.9,,,,,,False
2021-09-30 00:50:00-07:00,,20.6,3.2,,,,,,False
2021-09-30 00:51:00-07:00,,20.5,5.5,,,,,,False
2021-09-30 00:52:00-07:00,,19.9,4.5,,,,,,False
2021-09-30 00:53:00-07:00,,19.7,2.8,,,,,,False
2021-09-30 00:54:00-07:00,,19.5,4.0,,,,,,False
2021-09-30 00:55:00-07:00,,19.3,3.6,,,,,,False
2021-09-30 00:56:00-07:00,,19.5,4.4,,,,,,False
2021-09-30 00:57:00-07:00,,19.7,3.4,,,,,,False
2021-09-30 00:58:00-07:00,,19.9,3.0,,,,,,False
2021-09-30 00:59:00-07:00,,19.8,1.8,,,,,,False
2021-09-30 01:00:00-07:00,,19.9,3.1,,,,,,False
2021-09-30 01:01:00-07:00,,20.0,3.3,,,,,,False
2021-09-30 01:02:00-07:00,,19.9,5.4,,,,,,False
2021-09-30 01:03:00-07:00,,19.9,4.5,,,,,,False
2021-09-30 01:04:00-07:00,,20.0,4.2,,,,,,False
2021-09-30 01:05:00-07:00,,19.7,4.7,,,,,,False
2021-09-30 01:06:00-07:00,,19.4,4.8,,,,,,False
2021-09-30 01:07:00-07:00,,19.5,4.6,,,,,,False
2021-09-30 01:08:00-07:00,,19.7,3.8,,,,,,False
2021-09-30 01:09:00-07:00,,19.9,2.8,,,,,,False
2021-09-30 01:10:00-07:00,,19.9,4.0,,,,,,False
2021-09-30 01:11:00-07:00,,19.9,3.7,,,,,,False
2021-09-30 01:12:00-07:00,,19.7,3.0,,,,,,False
2021-09-30 01:13:00-07:00,,19.6,3.5,,,,,,False
2021-09-30 01:14:00-07:00,,19.6,3.7,,,,,,False
2021-09-30 01:15:00-07:00,,19.7,3.3,,,,,,False
2021-09-30 01:16:00-07:00,,19.8,3.4,,,,,,False
2021-09-30 01:17:00-07:00,,19.7,3.5,,,,,,False
2021-09-30 01:18:00-07:00,,19.6,3.0,,,,,,False
2021-09-30 01:19:00-07:00,,19.5,2.6,,,,,,False
2021-09-30 01:20:00-07:00,,19.5,3.4,,,,,,False
2021-09-30 01:21:00-07:00,,19.3,3.5,,,,,,False
2021-09-30 01:22:00-07:00,,19.2,3.7,,,,,,False
2021-09-30 01:23:00-07:00,,19.1,3.3,,,,,,False
2021-09-30 01:24:00-07:00,,19.2,3.5,,,,,,False
2021-09-30 01:25:00-07:00,,19.2,2.9,,,,,,False
2021-09-30 01:26:00-07:00,,19.2,2.9,,,,,,False
2021-09-30 01:27:00-07:00,,19.2,2.3,,,,,,False
2021-09-30 01:28:00-07:00,,19.2,1.6,,,,,,False
2021-09-30 01:29:00-07:00,,19.1,2.2,,,,,,False
2021-09-30 01:30:00-07:00,,19.0,1.1,,,,,,False
2021-09-30 01:31:00-07:00,,19.0,1.3,,,,,,False
2021-09-30 01:32:00-07:00,,19.0,0.9,,,,,,False
2021-09-30 01:33:00-07:00,,18.9,1.4,,,,,,False
