,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-05-21 00:00:00-07:00,,15.5,3.4,,,,,,False
2021-05-21 00:01:00-07:00,,15.9,3.3,,,,,,False
2021-05-21 00:02:00-07:00,,16.2,3.3,,,,,,False
2021-05-21 00:03:00-07:00,,16.3,3.3,,,,,,False
2021-05-21 00:04:00-07:00,,16.4,3.2,,,,,,False
2021-05-21 00:05:00-07:00,,16.4,3.2,,,,,,False
2021-05-21 00:06:00-07:00,,16.3,3.0,,,,,,False
2021-05-21 00:07:00-07:00,,16.0,2.9,,,,,,False
2021-05-21 00:08:00-07:00,,15.9,2.6,,,,,,False
2021-05-21 00:09:00-07:00,,15.9,2.8,,,,,,False
2021-05-21 00:10:00-07:00,,15.8,3.3,,,,,,False
2021-05-21 00:11:00-07:00,,15.6,4.0,,,,,,False
2021-05-21 00:12:00-07:00,,15.7,4.1,,,,,,False
2021-05-21 00:13:00-07:00,,16.0,3.7,,,,,,False
2021-05-21 00:14:00-07:00,,16.4,3.3,,,,,,False
2021-05-21 00:15:00-07:00,,16.5,3.0,,,,,,False
2021-05-21 00:16:00-07:00,,16.7,2.6,,,,,,False
2021-05-21 00:17:00-07:00,,16.9,2.2,,,,,,False
2021-05-21 00:18:00-07:00,,17.2,1.9,,,,,,False
2021-05-21 00:19:00-07:00,,17.3,1.8,,,,,,False
2021-05-21 00:20:00-07:00,,17.3,2.2,,,,,,False
2021-05-21 00:21:00-07:00,,17.3,2.7,,,,,,False
2021-05-21 00:22:00-07:00,,17.6,2.9,,,,,,False
2021-05-21 00:23:00-07:00,,17.9,2.7,,,,,,False
2021-05-21 00:24:00-07:00,,18.1,1.9,,,,,,False
2021-05-21 00:25:00-07:00,,18.2,1.8,,,,,,False
2021-05-21 00:26:00-07:00,,18.2,2.3,,,,,,False
2021-05-21 00:27:00-07:00,,18.3,2.4,,,,,,False
2021-05-21 00:28:00-07:00,,18.3,2.2,,,,,,False
2021-05-21 00:29:00-07:00,,18.3,2.3,,,,,,False
2021-05-21 00:30:00-07:00,,18.3,2.5,,,,,,False
2021-05-21 00:31:00-07:00,,18.1,3.5,,,,,,False
2021-05-21 00:32:00-07:00,,17.5,3.6,,,,,,False
2021-05-21 00:33:00-07:00,,17.2,3.3,,,,,,False
2021-05-21 00:34:00-07:00,,17.1,2.7,,,,,,False
2021-05-21 00:35:00-07:00,,17.1,2.5,,,,,,False
2021-05-21 00:36:00-07:00,,17.2,2.6,,,,,,False
2021-05-21 00:37:00-07:00,,17.3,2.9,,,,,,False
2021-05-21 00:38:00-07:00,,17.4,3.1,,,,,,False
2021-05-21 00:39:00-07:00,,17.3,4.0,,,,,,False
2021-05-21 00:40:00-07:00,,17.1,3.7,,,,,,False
2021-05-21 00:41:00-07:00,,17.0,3.7,,,,,,False
2021-05-21 00:42:00-07:00,,17.0,3.6,,,,,,False
2021-05-21 00:43:00-07:00,,17.0,3.1,,,,,,False
2021-05-21 00:44:00-07:00,,17.0,2.8,,,,,,False
2021-05-21 00:45:00-07:00,,17.1,2.6,,,,,,False
2021-05-21 00:46:00-07:00,,17.2,2.7,,,,,,False
2021-05-21 00:47:00-07:00,,17.3,2.6,,,,,,False
2021-05-21 00:48:00-07:00,,17.5,2.5,,,,,,False
2021-05-21 00:49:00-07:00,,17.5,2.5,,,,,,False
2021-05-21 00:50:00-07:00,,17.5,2.7,,,,,,False
2021-05-21 00:51:00-07:00,,17.5,2.9,,,,,,False
2021-05-21 00:52:00-07:00,,17.5,2.8,,,,,,False
2021-05-21 00:53:00-07:00,,17.6,2.5,,,,,,False
2021-05-21 00:54:00-07:00,,17.7,2.4,,,,,,False
2021-05-21 00:55:00-07:00,,17.7,2.2,,,,,,False
2021-05-21 00:56:00-07:00,,17.8,2.1,,,,,,False
2021-05-21 00:57:00-07:00,,17.8,1.8,,,,,,False
2021-05-21 00:58:00-07:00,,17.8,1.7,,,,,,False
2021-05-21 00:59:00-07:00,,17.8,1.8,,,,,,False
2021-05-21 01:00:00-07:00,,17.9,1.5,,,,,,False
2021-05-21 01:01:00-07:00,,17.9,1.5,,,,,,False
2021-05-21 01:02:00-07:00,,17.9,1.4,,,,,,False
2021-05-21 01:03:00-07:00,,17.9,1.4,,,,,,False
2021-05-21 01:04:00-07:00,,17.9,1.5,,,,,,False
2021-05-21 01:05:00-07:00,,17.9,1.5,,,,,,False
2021-05-21 01:06:00-07:00,,17.8,1.6,,,,,,False
2021-05-21 01:07:00-07:00,,17.8,1.5,,,,,,False
2021-05-21 01:08:00-07:00,,17.8,1.3,,,,,,False
2021-05-21 01:09:00-07:00,,17.8,1.4,,,,,,False
2021-05-21 01:10:00-07:00,,17.8,1.3,,,,,,False
2021-05-21 01:11:00-07:00,,17.8,1.7,,,,,,False
2021-05-21 01:12:00-07:00,,17.8,2.1,,,,,,False
2021-05-21 01:13:00-07:00,,17.8,2.2,,,,,,False
2021-05-21 01:14:00-07:00,,17.8,2.4,,,,,,False
2021-05-21 01:15:00-07:00,,17.9,2.1,,,,,,False
2021-05-21 01:16:00-07:00,,17.8,2.2,,,,,,False
2021-05-21 01:17:00-07:00,,17.7,2.5,,,,,,False
2021-05-21 01:18:00-07:00,,17.6,2.7,,,,,,False
2021-05-21 01:19:00-07:00,,17.6,3.1,,,,,,False
2021-05-21 01:20:00-07:00,,17.5,3.2,,,,,,False
2021-05-21 01:21:00-07:00,,17.6,3.2,,,,,,False
2021-05-21 01:22:00-07:00,,17.6,3.1,,,,,,False
