,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-06-25 00:00:00-07:00,,23.5,4.2,,,,,,False
2021-06-25 00:01:00-07:00,,23.4,4.0,,,,,,False
2021-06-25 00:02:00-07:00,,23.2,4.0,,,,,,False
2021-06-25 00:03:00-07:00,,23.2,4.7,,,,,,False
2021-06-25 00:04:00-07:00,,23.2,5.1,,,,,,False
2021-06-25 00:05:00-07:00,,23.3,5.0,,,,,,False
2021-06-25 00:06:00-07:00,,23.4,4.9,,,,,,False
2021-06-25 00:07:00-07:00,,23.3,5.2,,,,,,False
2021-06-25 00:08:00-07:00,,23.4,5.6,,,,,,False
2021-06-25 00:09:00-07:00,,23.3,5.7,,,,,,False
2021-06-25 00:10:00-07:00,,23.1,6.0,,,,,,False
2021-06-25 00:11:00-07:00,,23.3,5.7,,,,,,False
2021-06-25 00:12:00-07:00,,23.2,5.7,,,,,,False
2021-06-25 00:13:00-07:00,,23.1,5.7,,,,,,False
2021-06-25 00:14:00-07:00,,23.2,5.7,,,,,,False
2021-06-25 00:15:00-07:00,,23.2,5.7,,,,,,False
2021-06-25 00:16:00-07:00,,23.4,5.7,,,,,,False
2021-06-25 00:17:00-07:00,,23.5,5.6,,,,,,False
2021-06-25 00:18:00-07:00,,23.6,5.2,,,,,,False
2021-06-25 00:19:00-07:00,,23.7,5.0,,,,,,False
2021-06-25 00:20:00-07:00,,23.7,5.0,,,,,,False
2021-06-25 00:21:00-07:00,,23.8,5.0,,,,,,False
2021-06-25 00:22:00-07:00,,23.9,4.6,,,,,,False
2021-06-25 00:23:00-07:00,,23.8,4.7,,,,,,False
2021-06-25 00:24:00-07:00,,23.9,4.6,,,,,,False
2021-06-25 00:25:00-07:00,,24.0,4.9,,,,,,False
2021-06-25 00:26:00-07:00,,24.0,5.1,,,,,,False
2021-06-25 00:27:00-07:00,,23.7,5.8,,,,,,False
2021-06-25 00:28:00-07:00,,23.5,6.1,,,,,,False
2021-06-25 00:29:00-07:00,,23.2,5.9,,,,,,False
2021-06-25 00:30:00-07:00,,22.9,5.9,,,,,,False
2021-06-25 00:31:00-07:00,,22.7,6.0,,,,,,False
2021-06-25 00:32:00-07:00,,23.0,6.0,,,,,,False
2021-06-25 00:33:00-07:00,,23.0,5.8,,,,,,False
2021-06-25 00:34:00-07:00,,23.1,5.8,,,,,,False
2021-06-25 00:35:00-07:00,,23.4,5.5,,,,,,False
2021-06-25 00:36:00-07:00,,23.4,5.2,,,,,,False
2021-06-25 00:37:00-07:00,,23.3,4.8,,,,,,False
2021-06-25 00:38:00-07:00,,23.1,4.3,,,,,,False
2021-06-25 00:39:00-07:00,,22.9,4.5,,,,,,False
2021-06-25 00:40:00-07:00,,23.1,4.4,,,,,,False
2021-06-25 00:41:00-07:00,,23.3,4.6,,,,,,False
2021-06-25 00:42:00-07:00,,23.5,4.1,,,,,,False
2021-06-25 00:43:00-07:00,,23.6,4.2,,,,,,False
2021-06-25 00:44:00-07:00,,23.7,4.1,,,,,,False
2021-06-25 00:45:00-07:00,,23.9,4.3,,,,,,False
2021-06-25 00:46:00-07:00,,24.5,4.2,,,,,,False
2021-06-25 00:47:00-07:00,,24.9,4.1,,,,,,False
2021-06-25 00:48:00-07:00,,24.9,4.5,,,,,,False
2021-06-25 00:49:00-07:00,,24.9,5.0,,,,,,False
2021-06-25 00:50:00-07:00,,24.9,5.3,,,,,,False
2021-06-25 00:51:00-07:00,,24.6,5.2,,,,,,False
