,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-02-26 00:00:00-07:00,,-2.2,8.3,,,,,,False
2021-02-26 00:01:00-07:00,,-2.1,8.5,,,,,,False
2021-02-26 00:02:00-07:00,,-2.1,7.7,,,,,,False
2021-02-26 00:03:00-07:00,,-2.2,7.6,,,,,,False
2021-02-26 00:04:00-07:00,,-2.3,6.7,,,,,,False
2021-02-26 00:05:00-07:00,,-2.1,5.6,,,,,,False
2021-02-26 00:06:00-07:00,,-2.1,7.3,,,,,,False
2021-02-26 00:07:00-07:00,,-2.1,7.7,,,,,,False
2021-02-26 00:08:00-07:00,,-2.1,9.8,,,,,,False
2021-02-26 00:09:00-07:00,,-2.0,8.8,,,,,,False
2021-02-26 00:10:00-07:00,,-2.0,6.2,,,,,,False
2021-02-26 00:11:00-07:00,,-2.0,6.1,,,,,,False
2021-02-26 00:12:00-07:00,,-2.1,5.4,,,,,,False
2021-02-26 00:13:00-07:00,,-2.2,4.6,,,,,,False
2021-02-26 00:14:00-07:00,,-2.1,6.2,,,,,,False
2021-02-26 00:15:00-07:00,,-2.1,4.7,,,,,,False
2021-02-26 00:16:00-07:00,,-2.1,4.6,,,,,,False
2021-02-26 00:17:00-07:00,,-2.2,3.7,,,,,,False
2021-02-26 00:18:00-07:00,,-2.3,3.6,,,,,,False
2021-02-26 00:19:00-07:00,,-2.4,3.3,,,,,,False
2021-02-26 00:20:00-07:00,,-2.3,3.6,,,,,,False
2021-02-26 00:21:00-07:00,,-2.2,6.4,,,,,,False
2021-02-26 00:22:00-07:00,,-2.1,5.8,,,,,,False
2021-02-26 00:23:00-07:00,,-2.1,5.6,,,,,,False
2021-02-26 00:24:00-07:00,,-2.1,7.1,,,,,,False
2021-02-26 00:25:00-07:00,,-2.2,5.5,,,,,,False
2021-02-26 00:26:00-07:00,,-2.2,6.3,,,,,,False
2021-02-26 00:27:00-07:00,,-2.1,6.4,,,,,,False
2021-02-26 00:28:00-07:00,,-2.3,6.5,,,,,,False
2021-02-26 00:29:00-07:00,,-2.6,7.3,,,,,,False
2021-02-26 00:30:00-07:00,,-2.7,7.8,,,,,,False
