,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-07-21 00:00:00-07:00,,16.0,2.0,,,,,,False
2021-07-21 00:01:00-07:00,,16.2,2.0,,,,,,False
2021-07-21 00:02:00-07:00,,16.2,2.2,,,,,,False
2021-07-21 00:03:00-07:00,,16.2,2.0,,,,,,False
2021-07-21 00:04:00-07:00,,16.2,2.0,,,,,,False
2021-07-21 00:05:00-07:00,,16.3,2.1,,,,,,False
2021-07-21 00:06:00-07:00,,16.3,1.8,,,,,,False
2021-07-21 00:07:00-07:00,,16.3,2.0,,,,,,False
2021-07-21 00:08:00-07:00,,16.3,1.9,,,,,,False
2021-07-21 00:09:00-07:00,,16.2,1.9,,,,,,False
2021-07-21 00:10:00-07:00,,16.1,1.8,,,,,,False
2021-07-21 00:11:00-07:00,,16.1,1.8,,,,,,False
2021-07-21 00:12:00-07:00,,16.1,1.7,,,,,,False
2021-07-21 00:13:00-07:00,,16.0,1.6,,,,,,False
2021-07-21 00:14:00-07:00,,15.9,1.7,,,,,,False
2021-07-21 00:15:00-07:00,,15.8,1.7,,,,,,False
2021-07-21 00:16:00-07:00,,15.7,1.7,,,,,,False
2021-07-21 00:17:00-07:00,,15.7,1.6,,,,,,False
2021-07-21 00:18:00-07:00,,15.6,1.4,,,,,,False
2021-07-21 00:19:00-07:00,,15.5,1.4,,,,,,False
2021-07-21 00:20:00-07:00,,15.4,1.3,,,,,,False
2021-07-21 00:21:00-07:00,,15.5,1.3,,,,,,False
2021-07-21 00:22:00-07:00,,15.5,1.3,,,,,,False
2021-07-21 00:23:00-07:00,,15.5,1.1,,,,,,False
2021-07-21 00:24:00-07:00,,15.5,1.2,,,,,,False
2021-07-21 00:25:00-07:00,,15.5,1.1,,,,,,False
2021-07-21 00:26:00-07:00,,15.4,1.0,,,,,,False
2021-07-21 00:27:00-07:00,,15.5,1.1,,,,,,False
2021-07-21 00:28:00-07:00,,15.6,1.2,,,,,,False
2021-07-21 00:29:00-07:00,,15.5,1.6,,,,,,False
2021-07-21 00:30:00-07:00,,15.5,1.6,,,,,,False
2021-07-21 00:31:00-07:00,,15.5,1.3,,,,,,False
2021-07-21 00:32:00-07:00,,15.5,1.3,,,,,,False
2021-07-21 00:33:00-07:00,,15.5,1.6,,,,,,False
2021-07-21 00:34:00-07:00,,15.6,1.9,,,,,,False
