,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-09-13 00:00:00-07:00,,14.7,1.4,,,,,,False
2021-09-13 00:01:00-07:00,,14.6,1.6,,,,,,False
2021-09-13 00:02:00-07:00,,14.5,1.6,,,,,,False
2021-09-13 00:03:00-07:00,,14.5,1.6,,,,,,False
2021-09-13 00:04:00-07:00,,14.4,1.7,,,,,,False
2021-09-13 00:05:00-07:00,,14.3,2.0,,,,,,False
2021-09-13 00:06:00-07:00,,14.0,2.1,,,,,,False
2021-09-13 00:07:00-07:00,,13.6,2.1,,,,,,False
2021-09-13 00:08:00-07:00,,13.3,2.0,,,,,,False
2021-09-13 00:09:00-07:00,,13.1,2.0,,,,,,False
2021-09-13 00:10:00-07:00,,12.9,1.7,,,,,,False
2021-09-13 00:11:00-07:00,,13.0,1.5,,,,,,False
2021-09-13 00:12:00-07:00,,13.0,1.4,,,,,,False
2021-09-13 00:13:00-07:00,,12.9,1.3,,,,,,False
2021-09-13 00:14:00-07:00,,12.8,1.2,,,,,,False
2021-09-13 00:15:00-07:00,,12.7,1.1,,,,,,False
2021-09-13 00:16:00-07:00,,12.7,1.0,,,,,,False
2021-09-13 00:17:00-07:00,,12.6,1.0,,,,,,False
2021-09-13 00:18:00-07:00,,12.6,0.6,,,,,,False
2021-09-13 00:19:00-07:00,,12.7,0.5,,,,,,False
2021-09-13 00:20:00-07:00,,12.7,0.7,,,,,,False
2021-09-13 00:21:00-07:00,,12.6,0.4,,,,,,False
2021-09-13 00:22:00-07:00,,12.5,0.7,,,,,,False
2021-09-13 00:23:00-07:00,,12.5,0.8,,,,,,False
2021-09-13 00:24:00-07:00,,12.5,0.6,,,,,,False
2021-09-13 00:25:00-07:00,,12.5,0.8,,,,,,False
2021-09-13 00:26:00-07:00,,12.4,0.7,,,,,,False
2021-09-13 00:27:00-07:00,,12.5,1.0,,,,,,False
2021-09-13 00:28:00-07:00,,12.7,1.4,,,,,,False
2021-09-13 00:29:00-07:00,,13.0,1.7,,,,,,False
2021-09-13 00:30:00-07:00,,13.3,1.6,,,,,,False
2021-09-13 00:31:00-07:00,,13.5,1.1,,,,,,False
2021-09-13 00:32:00-07:00,,13.6,1.6,,,,,,False
2021-09-13 00:33:00-07:00,,13.7,1.2,,,,,,False
2021-09-13 00:34:00-07:00,,13.7,1.1,,,,,,False
2021-09-13 00:35:00-07:00,,13.6,1.3,,,,,,False
2021-09-13 00:36:00-07:00,,13.6,1.9,,,,,,False
2021-09-13 00:37:00-07:00,,13.7,1.6,,,,,,False
2021-09-13 00:38:00-07:00,,13.7,1.3,,,,,,False
2021-09-13 00:39:00-07:00,,13.8,1.7,,,,,,False
2021-09-13 00:40:00-07:00,,13.8,1.2,,,,,,False
2021-09-13 00:41:00-07:00,,13.8,1.6,,,,,,False
2021-09-13 00:42:00-07:00,,13.9,1.8,,,,,,False
2021-09-13 00:43:00-07:00,,14.0,1.4,,,,,,False
2021-09-13 00:44:00-07:00,,14.0,1.1,,,,,,False
2021-09-13 00:45:00-07:00,,14.0,1.3,,,,,,False
2021-09-13 00:46:00-07:00,,14.1,1.8,,,,,,False
2021-09-13 00:47:00-07:00,,14.2,1.8,,,,,,False
2021-09-13 00:48:00-07:00,,14.2,2.0,,,,,,False
2021-09-13 00:49:00-07:00,,14.2,2.2,,,,,,False
2021-09-13 00:50:00-07:00,,14.1,2.6,,,,,,False
