,aoi,Tamb,Wind,POA,i_mp,v_mp,p_mp,Power,anomaly
2021-03-06 00:00:00-07:00,,13.7,4.3,,,,,,False
2021-03-06 00:01:00-07:00,,13.7,4.9,,,,,,False
2021-03-06 00:02:00-07:00,,13.7,4.5,,,,,,False
2021-03-06 00:03:00-07:00,,13.8,4.3,,,,,,False
2021-03-06 00:04:00-07:00,,13.9,4.4,,,,,,False
2021-03-06 00:05:00-07:00,,14.1,4.2,,,,,,False
2021-03-06 00:06:00-07:00,,14.1,4.1,,,,,,False
2021-03-06 00:07:00-07:00,,14.1,4.2,,,,,,False
2021-03-06 00:08:00-07:00,,14.0,3.4,,,,,,False
2021-03-06 00:09:00-07:00,,14.1,4.0,,,,,,False
2021-03-06 00:10:00-07:00,,14.2,3.8,,,,,,False
2021-03-06 00:11:00-07:00,,14.3,4.3,,,,,,False
2021-03-06 00:12:00-07:00,,14.4,3.7,,,,,,False
2021-03-06 00:13:00-07:00,,14.1,3.5,,,,,,False
2021-03-06 00:14:00-07:00,,13.9,3.2,,,,,,False
2021-03-06 00:15:00-07:00,,14.0,2.9,,,,,,False
2021-03-06 00:16:00-07:00,,14.2,2.9,,,,,,False
2021-03-06 00:17:00-07:00,,14.4,2.7,,,,,,False
2021-03-06 00:18:00-07:00,,14.5,3.2,,,,,,False
2021-03-06 00:19:00-07:00,,14.4,3.4,,,,,,False
2021-03-06 00:20:00-07:00,,14.3,3.7,,,,,,False
2021-03-06 00:21:00-07:00,,14.3,3.4,,,,,,False
2021-03-06 00:22:00-07:00,,14.1,2.3,,,,,,False
2021-03-06 00:23:00-07:00,,14.0,3.1,,,,,,False
2021-03-06 00:24:00-07:00,,14.1,3.1,,,,,,False
2021-03-06 00:25:00-07:00,,14.3,3.4,,,,,,False
2021-03-06 00:26:00-07:00,,14.4,3.3,,,,,,False
2021-03-06 00:27:00-07:00,,14.4,3.2,,,,,,False
2021-03-06 00:28:00-07:00,,14.2,2.7,,,,,,False
2021-03-06 00:29:00-07:00,,13.5,1.1,,,,,,False
2021-03-06 00:30:00-07:00,,12.9,1.0,,,,,,False
2021-03-06 00:31:00-07:00,,12.5,0.5,,,,,,False
2021-03-06 00:32:00-07:00,,12.3,1.1,,,,,,False
2021-03-06 00:33:00-07:00,,12.2,0.9,,,,,,False
2021-03-06 00:34:00-07:00,,12.3,1.3,,,,,,False
2021-03-06 00:35:00-07:00,,12.6,1.9,,,,,,False
2021-03-06 00:36:00-07:00,,12.9,1.9,,,,,,False
2021-03-06 00:37:00-07:00,,13.1,1.9,,,,,,False
2021-03-06 00:38:00-07:00,,13.2,2.0,,,,,,False
2021-03-06 00:39:00-07:00,,13.1,1.3,,,,,,False
2021-03-06 00:40:00-07:00,,13.1,1.2,,,,,,False
2021-03-06 00:41:00-07:00,,13.2,1.7,,,,,,False
2021-03-06 00:42:00-07:00,,13.6,1.9,,,,,,False
2021-03-06 00:43:00-07:00,,14.0,2.6,,,,,,False
2021-03-06 00:44:00-07:00,,14.4,2.8,,,,,,False
2021-03-06 00:45:00-07:00,,14.6,2.9,,,,,,False
2021-03-06 00:46:00-07:00,,14.6,3.5,,,,,,False
2021-03-06 00:47:00-07:00,,13.9,3.8,,,,,,False
2021-03-06 00:48:00-07:00,,13.6,3.7,,,,,,False
2021-03-06 00:49:00-07:00,,13.9,3.3,,,,,,False
2021-03-06 00:50:00-07:00,,14.1,3.5,,,,,,False
2021-03-06 00:51:00-07:00,,14.1,3.5,,,,,,False
2021-03-06 00:52:00-07:00,,13.9,2.7,,,,,,False
2021-03-06 00:53:00-07:00,,13.7,2.4,,,,,,False
2021-03-06 00:54:00-07:00,,13.5,2.6,,,,,,False
2021-03-06 00:55:00-07:00,,13.5,2.3,,,,,,False
2021-03-06 00:56:00-07:00,,13.6,3.1,,,,,,False
2021-03-06 00:57:00-07:00,,13.6,3.6,,,,,,False
2021-03-06 00:58:00-07:00,,13.6,3.3,,,,,,False
2021-03-06 00:59:00-07:00,,13.8,3.8,,,,,,False
2021-03-06 01:00:00-07:00,,13.8,3.6,,,,,,False
2021-03-06 01:01:00-07:00,,13.9,3.9,,,,,,False
2021-03-06 01:02:00-07:00,,14.4,4.0,,,,,,False
2021-03-06 01:03:00-07:00,,14.6,3.4,,,,,,False
